source,observed_entropy_gain_nats,shuffle_n,shuffle_mean,shuffle_p95,entropy_excess_over_p95,empirical_p
Stage 10: tsaicying novel Tg subset,0.1570904784097604,1000,0.0020088778597326068,0.0051913269533175885,0.1518991514564428,0.000999000999000999
Stage 11: NeurIPS released Tg-known test,0.0601493923429536,1000,0.005947519893153535,0.016004100956217404,0.044145291386736195,0.000999000999000999
Stage 13: Leeds PAEK novel subset,0.2707268054256728,1000,0.020036674431234993,0.04989523706942601,0.2208315683562468,0.000999000999000999
